__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,26668638,2020-05-18T17:51:45.000Z,1500.0,,,,,
StarterPetitionUpdate,26622490,2020-05-13T06:51:25.000Z,,The TIME IS NOW!! TWEET  MAYOR LIGHTFOOT,"<p>The Time Is Now!!</p>
<p>Thank you so much for your support. We are working behind the scenes to seek justice but Pressure is on!! Will you help me seek justice!?</p>
<p>Now more than ever, our voices must be heard!! Almost THREE MONTHS since the brutal attack on 16 year Chicago Public School Lunch room employee, Lynette Faye Jenkins  by CURRENT Chicago Public School Principal, Kurtis Cunningham-Jones ; the open case is still under ‘investigation”. </p>
<p>LThis is not right. We Demand Justice!!!</p>
<p>#JUSTICE4JENKINS #JUSTICE4JENKINS</p>
<p>Please help us by kindly Tweeting our Mayor, Lori Lightfoot and our Cook County States Attorney, Kim Foxx to Let them Know.. we stand in solidarity with Lynette Faye Jenkins !! Kirk Cunningham-Jones of Franklin Fine Arts Center MUST GO!! #JUSTICE4JENKINS</p>
<p> </p>
<p>• Please Copy &amp; Paste •</p>
<p>I Stand in Solidarity with Lynette Faye Jenkins. Kirk Cunningham-Jones of Chicago Public School Principal at Franklin Fine Arts Center MUST GO!! Brutal attacks #JUSTICE4JENKINS </p>
<p>•Tweet•</p>
<p>Lori Lightfoot- <a href=""https://twitter.com/LoriLightfoot"" rel=""nofollow"">https://twitter.com/LoriLightfoot</a></p>
<p>Kim Foxx-<a href=""https://twitter.com/KimFoxxforSA"" rel=""nofollow"">https://twitter.com/KimFoxxforSA</a></p>
<p><a href=""https://twitter.com/KimFoxxforSA"" rel=""nofollow"">https://twitter.com/KimFoxxforSA</a></p>
<p>#Justice4Jenkins</p>",,,
MilestonePetitionUpdate,26448736,2020-04-23T21:40:48.000Z,1000.0,,,,,
MilestonePetitionUpdate,26427619,2020-04-21T22:55:10.000Z,750.0,,,,,
MilestonePetitionUpdate,26396537,2020-04-18T19:08:56.000Z,500.0,,,,,
MilestonePetitionUpdate,26391250,2020-04-18T06:21:51.000Z,250.0,,,,,
MilestonePetitionUpdate,26389922,2020-04-18T01:51:23.000Z,200.0,,,,,
MilestonePetitionUpdate,26386321,2020-04-17T19:01:24.000Z,100.0,,,,,
MilestonePetitionUpdate,26383948,2020-04-17T15:23:45.000Z,50.0,,,,,
MilestonePetitionUpdate,26300707,2020-04-09T05:44:27.000Z,25.0,,,,,
MilestonePetitionUpdate,26299617,2020-04-09T02:15:48.000Z,10.0,,,,,
MilestonePetitionUpdate,26298984,2020-04-09T00:28:37.000Z,5.0,,,,,
