__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,25559603,2020-01-05T09:47:01.000Z,We did it! Donald J. Trump has been Impeached!,"<p><a href=""https://www.change.org/p/u-s-senate-trump-is-impeached-now-remove-him-from-office"" rel=""nofollow"">Click here to support us and sign our NEW petition. Let’s make them hear us again!</a><strong><br><br>WE DID IT! Sort of.</strong><br>The Million American Petition has gathered over <a href=""https://www.change.org/p/the-people-impeach-donald-j-trump"" rel=""nofollow"">720,000 Signatures to Impeach Trump</a>! Every one of our petition signers should be proud that Trump has officially been impeached and their voices really did contribute to that decision. Donald Trump’s presence in the white house will always be a stain on American History. While we are proud to have pushed this effort into the spotlight across multiple platforms, we know our fight is not over. But that doesn’t mean there isn’t room to celebrate!</p>
<p><strong>Mile Stones for the Million American Petition</strong><br><strong>Highlights from our journey together over the last 4 years.</strong><br><br><strong>This all started in 2016 on the night of Trumps inauguration.</strong><br>We knew early on Trump was unfit to serve as President of the United States. A small group of artists from multiple online communities banded together to call for the impeachment of Donald Trump. Doing this early on – as soon as he was inaugurated – was an important step to drawing a line in the sand between right and wrong.  We launched our petition with overwhelming support. Even a few celebrity callouts – from both friends and foes. – Which allowed our petition to grow into something much more than just a cry for help. It became a voice of truth for thousands of our petition signers.</p>
<p><strong>2017 brought the first ever Woman’s March on Washington.</strong><br>A needed effort to show our elected officials America does not stand for a sexism at the highest level. This was a big win for The Million American Petition also. Taking our efforts offline and into the streets. Participating in marches throughout the country in support of Woman everywhere. It was here that our Anti Trump T-shirts and signs gathered an abundant amount of attention. A whole new way to “turn out” which lead to signing up thousands of more petition supporters for Trump’s impeachment. By doing this we garnering everlasting friendship and support from people across all political spectrums and ideology. People who stuck with us through the hard times ahead.</p>
<p><strong>2018 was a hard year</strong><br>2018 was hard. People were frustrated nothing was happening. Even though impeachment finally was a hot talking point in the media. It seemed like Trump was allowed to get away with whatever he wanted and those responsible at the top would do nothing to stop him. People started to lose respect for our elected officials for doing nothing. They stood by while Trump continued to make a mockery American laws and ideology. People started to give up on the idea of a Trump free America. People simply started moving on with their lives in 2018. We don’t blame them. The fatigue was real. We were giving up also…</p>
<p><br><strong>2019 our voices were heard</strong><br>2019 rolled around and The Million American Petition came out with a new tone. One of anger and frustration. With just over 300,000 purely organic American signatures to back our message. We started calling out our elected officials for doing nothing while Trump continued to break the law and compromise national security. Calling out by name the leaders of the democratic party for being complacent in impeaching Trump. The American people wanted impeachment and that was clear. We were committed to make them hear us.</p>
<p>It worked! We were reached out to by multi-million-dollar interests to combine our petition with other impeachment efforts throughout the country. With one giant push from the efforts of Change.org, MoveOn.org, The Woman’s March on Washington, Need To Impeach, Democracy for America, Free Speech for People and last but not least The Million American Petition (That’s us!). We delivered over 10 Million combined impeachment signatures with U.S Representative, Lawyer, Mover &amp; Shaker Rashida Tlaib to the heart of the capital building.</p>
<p>After this, the topic of impeachment exploded in the Media. Our representatives started to realize that every moment Trump remained un-impeached was a direct reflection on their characters as leaders of this nation. If they were to do nothing it would sure amount to a disaster for the democratic party in the upcoming elections.</p>
<p>Signatures to The Million American Petition started piling in. In just a couple months we tripled the number of average signatures we were getting and gaining support from not just Americans but the entire world! It was crystal clear the pathway to impeachment was wide open and it was only a matter of time before impeachment was inevitable. So we pushed and continued to call out our representatives in all forums we had access to. Backed by our petition signers.</p>
<p><br><strong>And Finially… Christmas came early! Barely.</strong><br> On December 18th 2019 impeachment inquiry was wrapped up in a bow and delivered to the American people. An official announcement of the Impeachment of Donald J Trump was finalized. His presidency will be nothing but a mockery for centuries to come. An unfortunate stain on America.</p>
<p><strong>Impeachment does not mean Trump will be removed from office. All his power remains.</strong></p>
<p>Impeachment is similar to an indictment in criminal law. Therefor it is essentially the statement of charges against the president. A necessary step to removing Trump from office and charging him with his crimes.</p>
<p>We need to ensure Trump is removed from office. With the upcoming election we need to make it clear Trump is not only unfit to serve another 4 years in office. But that he needs to be fully removed from office and charged for his crimes. Impeachment was an important step to this. Now its time to walk the walk people!<br>Trump, an impeached president. Ordered the assassination of a high-level Iranian military official. Killing him without congressional approval and sparking outrage and potential cause for war. With thousands of troops already headed to Iran. People have begun speculating about WWlll. Which is the last thing we need.</p>
<p><strong>“We have an impeached, crazed president with the most powerful military in the world at his fingertips. Ordering assassinations of key military powers risking the lives of us all!”</strong></p>
<p><strong>– Ian Shannon-Garvey (Founder of The Million American Petition)</strong></p>
<p>Moving forward in 2020 we are starting a new petition. DEMANDING CONGRESS REMOVE DONALD TRUMP FROM OFFICE.</p>
<p><a href=""https://www.change.org/p/u-s-senate-trump-is-impeached-now-remove-him-from-office"" rel=""nofollow""><strong>Click here to support us and sign our NEW petition. Let’s make them hear us again!</strong></a></p>","{'id': '222942730', 'petitionMedium': {'url': '//assets.change.org/photos/3/eq/zl/AbEQZlzTAsWmCXt-800x450-noPad.jpg?1578217626', 'processing': False}}",,,
StaffPetitionUpdate,25479328,2019-12-12T20:52:44.000Z,Articles of Impeachment are Introduced,"<p>The events surrounding the impeachment proceedings continue. <strong>On Tuesday, the House Judiciary Committee’s Democratic majority released two proposed articles of impeachment against President Trump. </strong></p>
<p>If impeached, he would be the third president in American history to be charged with high crimes and misdemeanors. </p>
<p><strong>The first article relates to abuse of power in pressuring Ukraine to assist in re-election efforts. The second article charges him with obstruction of Congress for refusing to provide documents and blocking testimony. </strong></p>
<p>You can click the link on this update to read the articles of impeachment with context and analysis. <strong>Please continue to sign and share to keep the momentum building.</strong></p>",,,"{'providerName': 'The New York Times', 'photoUrl': 'https://static01.nyt.com/images/2019/12/10/reader-center/10impeach-tear/10impeach-tear-videoSixteenByNineJumbo1600-v2.png', 'description': 'Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors. IN THE HOUSE OF REPRESENTATIVES Mr. NADLER submitted the following resolution; which was referred to the Committee on RESOLUTION Impeaching Donald John Trump, President of the United States, for high crimes and misdemeanors. Resolved, That Donald J.'}",
StaffPetitionUpdate,25448528,2019-12-05T18:52:46.000Z,"“In America, no one is above the law”: Impeachment moves forward","<p>Just today Speaker Nancy Pelosi asked the House to proceed with articles of impeachment. This move represents a huge step in the impeachment inquiry.</p>
<p>Pelosi started her statement referencing some of the founders of the US, saying:</p>
<p><em>“Another founder, Governor Morris, feared that a president may be bribed by a greater interest to betray his trust. He emphasized that this magistrate is not a king. The people are the king. They, therefore, created a constitutional remedy to protect against a dangerous of corrupt leader: Impeachment.”</em></p>
<p><strong>What comes next:</strong> A simple majority of votes In favor of impeachment in the house advances it to the Senate, where the Chief Justice of the Supreme Court will preside over a trial. In the Senate, a two-thirds majority is needed to remove a president from office.</p>
<p>Read and share the update to help grow the campaign.</p>",,,"{'providerName': 'CNN', 'photoUrl': 'https://cdn.cnn.com/cnnnext/dam/assets/191204154231-06-trmp-nato-super-tease.jpg', 'description': 'As soon as tonight, we should expect the House Judiciary Committee to announce a future hearing for next week. That is expected to include testimony from Democratic and GOP staff attorneys on the House Intelligence Committee presenting the findings of their investigations. Under the rules, the committee can schedule a hearing within 24 hours.'}",
StaffPetitionUpdate,25403480,2019-11-25T21:33:44.000Z,"""We Followed the President’s Orders""","<p>At last week’s impeachment inquiry, Gordon Sondland, the US Ambassador to the European Union, delivered explosive testimony to the House Intelligence Committee.</p>
<p><strong>He directly pointed his finger at President Trump and stated that several senior White House figures were “in the loop.”</strong></p>
<p>Never before in the inquiry’s public hearings has this explicit arrangement been put so clearly. Alongside Sondland, a series of experts, aides, and Ambassadors testified in front of the committee.</p>
<p>House Intelligence Committee Chair Adam Schiff, labeled the evidence from the hearings ‘overwhelming’.</p>
<p><strong>Read about the hearings, and share to help grow the campaign if you agree that President Trump must be impeached now more than ever.</strong></p>",,,"{'providerName': 'NBC News', 'photoUrl': 'https://media2.s-nbcnews.com/j/newscms/2019_47/3115491/191122-impeachment-roundup-ew-245p_448f1566668d856e83c017c3d4551800.nbcnews-fp-1200-630.jpg', 'description': 'From Wednesday Nov. 13 to Thursday Nov. 21, Americans were glued to their televisions, computers and streaming devices, as the House Intelligence Committee held a series of long public hearings as part of a broader Democratic-led impeachment inquiry against President Donald Trump. Here are all the things we learned from two jam-packed weeks of public testimony.'}",
MilestonePetitionUpdate,25352785,2019-11-14T17:49:20.000Z,,,,,,500000.0
StaffPetitionUpdate,25290529,2019-10-31T22:29:50.000Z,Today the House resolved to begin impeachment proceedings,"<p>Today, the House of Representatives voted on a resolution to move forward with formal impeachment proceedings. Despite a united Republican front against it, all but two Democrats did pass the resolution and hearings should begin shortly, although a date has not yet been set. </p>
<ul>
<li>If you live in his Minnesota district, you can contact your <a href=""https://twitter.com/collinpeterson"" rel=""nofollow"">Representative Collin Peterson</a> and tell him that you support a fair hearing.</li>
<li>If you live in his New Jersey district, you can contact your <a href=""https://twitter.com/congressmanjvd"" rel=""nofollow"">Representative Jeff Van Drew</a> to ask him to stand up for a fair hearing.</li>
</ul>
<p>No matter where you live, if you haven’t already contacted your Representative--<a href=""https://www.house.gov/representatives/find-your-representative"" rel=""nofollow"">let them know where you stand</a>.</p>",,,"{'providerName': 'NPR.org', 'photoUrl': 'https://media.npr.org/assets/img/2019/10/29/ap_19301525980748_wide-0950f7f7011761dac7e795b598dd2f901aabb672.jpg?s=1400', 'description': 'subscribe to The NPR Politics Podcast podcast The impeachment inquiry enters a new open phase with a House vote on a resolution formalizing the impeachment inquiry. The measure drafted by House Democrats lays out the ground rules for public hearings, provides procedures for the president and his counsel to respond to evidence and sets out the process for considering articles of impeachment in the Judiciary Committee and the full House.'}",
StaffPetitionUpdate,25244219,2019-10-24T19:14:48.000Z,Majority of Americans Favor Impeachment,"<p>After Donald Trump recently claimed that “only 25 percent want the President impeached,” a Gallup poll has results that refute this claim. According to Gallup’s latest poll, 52% of respondents say Trump should be impeached and removed from office.</p>
<p>While public opinion remains mixed, Americans are slightly more in favor of impeachment and removal from office than they were in June. Support of impeachment continues to rise among Independent voters. </p>
<p>An interesting note: compared to Nixon and Clinton, public support for Trump’s impeachment is higher. “The starting point of public support for Trump’s impeachment is higher than was seen for Nixon and Clinton.” </p>
<p>Do you think it’s time for impeachment? Sign and share the petition. </p>",,,"{'providerName': 'Gallup.com', 'photoUrl': 'http://content.gallup.com/origin/gallupinc/GallupSpaces/Production/Cms/POLL/dc2tavvyiks89difikdd7g.jpg', 'description': ""Story Highlights 25% approve of Congress; up from 18% last month; Trump's approval at 39% 52% of Americans now support Trump's impeachment and removal Impeachment support reflects growth in support among independents, Dems WASHINGTON, D.C. -- As Democrats in the U.S.""}",
StaffPetitionUpdate,25175315,2019-10-09T21:22:20.000Z,Tell the White House that cooperating with the law isn't a witch hunt.,"<p>The White House is actively blocking subpoenaed witnesses from giving their testimony.</p>
<p><br>Saying that an impeachment inquiry interferes with the Office of the President, the Trump administration has stated that it will refuse to cooperate with the legislative branch’s proceedings. House Democrats have also made it clear that failure to comply could form the basis for its own article of impeachment.</p>
<p><br><strong>Help end the stand-off by sharing Ian and Daniella's Million American petition with your networks, and send the message to Trump that no one is above the law.</strong></p>",,,"{'providerName': 'The New York Times', 'photoUrl': 'https://static01.nyt.com/images/2019/11/08/us/politics/08dc-impeach-promo2/08dc-impeach-promo2-facebookJumbo.jpg', 'description': 'WASHINGTON - The White House declared war on the House impeachment inquiry on Tuesday, announcing that it would not cooperate with what it called an illegitimate effort ""to overturn the results of the 2016 election"" and setting the stage for a constitutional clash with far-reaching consequences.'}",
MilestonePetitionUpdate,25151417,2019-10-03T19:03:25.000Z,,,,,,400000.0
StarterPetitionUpdate,25125543,2019-09-27T17:33:15.000Z,There's no going back. Donald Trump will be impeached.,"<p>PELOSI This morning - ""I've said if we have to do this we will be ready - and we are ready""</p>
<p>MSNBC STATEMENT: Trump will be the 3rd president of the United States to be Impeached. </p>
<p>- Source MSNBC: <a href=""https://youtu.be/9DjUna7YUGk?t=363"" rel=""nofollow"">https://youtu.be/9DjUna7YUGk?t=363</a></p>
<p>As of yesterday. Republicans who are usually in Donald Trump’s corner are no longer defending him. Saying he has betrayed the constitution and national security for personal and political benefit. Not one member of the republican house committee stated that trump ""did not betray his oath of office"" not one of them. No one from either side has come to his defense. No one from Trump’s corner has come forward saying Nancy Pelosi was wrong. </p>
<p>The Republicans and the Republicans staff had 48 hours to write their speeches for the hearing yesterday on the 26th condemning Nancy Pelosi for saying the president betrayed his oath of his office and not one republican has done that, Not one.</p>
<p>The Republicans simply have no defense for what Trump said on the phone to the Ukraine President. Nor do they have a defense for the coverup. </p>
<p><strong>Source MSNBC:</strong> <a href=""https://www.youtube.com/watch?v=9DjUna7YUGk"" rel=""nofollow"">https://www.youtube.com/watch?v=9DjUna7YUGk</a></p>
<p>The trials are starting.</p>
<p>Pelosi this morning: ""This is as serious as it gets. Protecting the constitution. This is about the national security of our country and the president of the united states being disloyal to his oath of office, jeopardizing our national security and jeopardizing the integrity of our elections. </p>
<p>She continued stating the president used taxpayer dollars to shake down the leader of another country for his own political gain. Stating that they knew it was wrong, which is why they moved the info onto private servers. </p>
<p><strong>Source Morning Joe:</strong> <a href=""https://www.youtube.com/watch?v=O5hKzpZ28AU"" rel=""nofollow"">https://www.youtube.com/watch?v=O5hKzpZ28AU</a></p>
<p>Hillary Clinton:  My view is that given this latest revelation which is such a blatant effort to use his presidential position to advance his personal and political interests. There should be an impeachment</p>
<p>There is no going back now. There is no possible defense. They failed to present that defense in yesterday's hearing.</p>
<p>---------<br><br>Get your <strong>Anti Trump T-shirts</strong> at <a href=""www.DumpTrumpDumpTrump.com"" rel=""nofollow"">www.DumpTrumpDumpTrump.com</a> and support our petition!</p>","{'id': '222562536', 'petitionMedium': {'url': '//assets.change.org/photos/3/ug/na/dgugnAvNszbnKnX-800x450-noPad.jpg?1569605596', 'processing': False}}",,,
