__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,30563939,2022-05-18T07:23:18.000Z,250.0,,,,,
MilestonePetitionUpdate,30510606,2022-05-04T02:32:52.000Z,200.0,,,,,
MilestonePetitionUpdate,30486149,2022-04-27T12:26:11.000Z,100.0,,,,,
MilestonePetitionUpdate,30482533,2022-04-26T14:22:14.000Z,50.0,,,,,
StarterPetitionUpdate,30482118,2022-04-26T12:12:53.000Z,,Police Report Where Jose Wanted To Pursue Charges,<p>Here is a police report that Jose wanted to pursue charges against her and they documented his injuries but the cops failed to do their investigation! </p>,"{'id': '226569264', 'petitionMedium': {'url': '//assets.change.org/photos/8/gz/ml/OcGZMlNZLiYqohm-800x450-noPad.jpg?1650975177', 'processing': False}}",,
StarterPetitionUpdate,30482107,2022-04-26T12:09:39.000Z,,Text message admitting she punched him,<p>Text admitting she punched him! </p>,"{'id': '226569255', 'petitionMedium': {'url': '//assets.change.org/photos/7/te/ag/adtEagpbrSRDIGP-800x450-noPad.jpg?1650974980', 'processing': False}}",,
StarterPetitionUpdate,30482104,2022-04-26T12:08:20.000Z,,Another Injury,<p>Busted lip by her </p>,"{'id': '226569247', 'petitionMedium': {'url': '//assets.change.org/photos/7/kb/sn/kxkBSnVdxumdZKE-800x450-noPad.jpg?1650974903', 'processing': False}}",,
MilestonePetitionUpdate,30480836,2022-04-26T01:24:33.000Z,25.0,,,,,
MilestonePetitionUpdate,30473969,2022-04-23T18:09:34.000Z,10.0,,,,,
MilestonePetitionUpdate,30472505,2022-04-23T03:58:48.000Z,5.0,,,,,
StarterPetitionUpdate,30472490,2022-04-23T03:50:43.000Z,,One injury,<p>One injury </p>,"{'id': '226562085', 'petitionMedium': {'url': '//assets.change.org/photos/9/px/cm/TspXcMntbFtqbUh-800x450-noPad.jpg?1650685847', 'processing': False}}",,
