__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30663275,2022-06-15T20:41:41.000Z,9000
MilestonePetitionUpdate,30625827,2022-06-04T15:54:15.000Z,8000
MilestonePetitionUpdate,30623277,2022-06-03T19:02:09.000Z,7500
MilestonePetitionUpdate,30621230,2022-06-03T05:48:23.000Z,7000
MilestonePetitionUpdate,30617155,2022-06-02T03:12:15.000Z,6000
MilestonePetitionUpdate,30614980,2022-06-01T15:13:08.000Z,5000
MilestonePetitionUpdate,30600154,2022-05-27T19:30:23.000Z,4000
MilestonePetitionUpdate,30577869,2022-05-21T21:45:36.000Z,3000
MilestonePetitionUpdate,30569855,2022-05-19T15:55:54.000Z,2500
MilestonePetitionUpdate,30565382,2022-05-18T15:45:48.000Z,2000
MilestonePetitionUpdate,30562750,2022-05-17T22:59:02.000Z,1500
MilestonePetitionUpdate,30559832,2022-05-17T07:41:00.000Z,1000
MilestonePetitionUpdate,30557501,2022-05-16T17:02:53.000Z,750
MilestonePetitionUpdate,30551615,2022-05-14T18:16:10.000Z,500
MilestonePetitionUpdate,30549868,2022-05-14T03:46:54.000Z,250
MilestonePetitionUpdate,30549412,2022-05-14T00:11:38.000Z,200
MilestonePetitionUpdate,30547567,2022-05-13T14:55:04.000Z,100
MilestonePetitionUpdate,30536686,2022-05-10T22:51:59.000Z,50
MilestonePetitionUpdate,30531469,2022-05-09T18:24:55.000Z,25
MilestonePetitionUpdate,30529428,2022-05-09T06:32:59.000Z,10
MilestonePetitionUpdate,30528288,2022-05-08T19:30:59.000Z,5
