__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30596455,2022-05-26T20:43:50.000Z,4000
MilestonePetitionUpdate,30554361,2022-05-15T18:19:50.000Z,3000
MilestonePetitionUpdate,30549642,2022-05-14T02:02:25.000Z,2500
MilestonePetitionUpdate,30536690,2022-05-10T22:52:11.000Z,2000
MilestonePetitionUpdate,30528221,2022-05-08T18:58:45.000Z,1500
MilestonePetitionUpdate,30515209,2022-05-05T03:49:05.000Z,1000
MilestonePetitionUpdate,30507570,2022-05-03T11:54:24.000Z,750
MilestonePetitionUpdate,30504749,2022-05-02T16:51:24.000Z,500
MilestonePetitionUpdate,30501351,2022-05-01T15:05:09.000Z,250
MilestonePetitionUpdate,30500556,2022-05-01T07:48:54.000Z,200
MilestonePetitionUpdate,30499098,2022-04-30T18:23:00.000Z,100
MilestonePetitionUpdate,30497961,2022-04-30T10:16:56.000Z,50
MilestonePetitionUpdate,30497036,2022-04-30T01:05:50.000Z,25
MilestonePetitionUpdate,30496138,2022-04-29T19:28:15.000Z,10
MilestonePetitionUpdate,30495888,2022-04-29T18:23:42.000Z,5
