__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,25847702,2020-03-05T14:39:02.000Z,2500.0,,,,,
MilestonePetitionUpdate,25827137,2020-03-01T21:30:10.000Z,2000.0,,,,,
MilestonePetitionUpdate,25819098,2020-02-28T22:28:34.000Z,1500.0,,,,,
MilestonePetitionUpdate,25814032,2020-02-27T22:59:48.000Z,1000.0,,,,,
MilestonePetitionUpdate,25812817,2020-02-27T18:42:47.000Z,750.0,,,,,
MilestonePetitionUpdate,25811313,2020-02-27T13:40:14.000Z,500.0,,,,,
StarterPetitionUpdate,25810977,2020-02-27T12:29:16.000Z,,Watch on KTVA,<p>This was the interview on KTVA in regards to this issue. </p>,,,"{'providerName': 'Ktva', 'photoUrl': 'https://KTVA.images.worldnow.com/images/19223459_G.jpeg', 'description': '""I can\'t say that I think the practical exam is perfect, because it\'s not. It\'s actually very dated,"" said Sherry Smith, stylist and Goldwell Color educator. ""But it does have a lot of great safety features in it like what you would do if you actually got blood or how to sanitize your stuff properly, how to ensure your client be safe and clean and sanitation.""'}"
MilestonePetitionUpdate,25809947,2020-02-27T06:24:37.000Z,250.0,,,,,
MilestonePetitionUpdate,25809900,2020-02-27T06:02:05.000Z,200.0,,,,,
MilestonePetitionUpdate,25809806,2020-02-27T05:24:29.000Z,100.0,,,,,
MilestonePetitionUpdate,25809773,2020-02-27T05:05:53.000Z,50.0,,,,,
MilestonePetitionUpdate,25809725,2020-02-27T04:47:04.000Z,25.0,,,,,
MilestonePetitionUpdate,25809698,2020-02-27T04:38:19.000Z,10.0,,,,,
MilestonePetitionUpdate,25809665,2020-02-27T04:26:30.000Z,5.0,,,,,
