__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30578909,2022-05-22T10:18:04.000Z,1000
MilestonePetitionUpdate,30571432,2022-05-19T23:06:49.000Z,750
MilestonePetitionUpdate,30566894,2022-05-18T22:05:57.000Z,500
MilestonePetitionUpdate,30563789,2022-05-18T06:03:32.000Z,250
MilestonePetitionUpdate,30563586,2022-05-18T04:22:41.000Z,200
MilestonePetitionUpdate,30563306,2022-05-18T02:22:49.000Z,100
MilestonePetitionUpdate,30563156,2022-05-18T01:27:37.000Z,50
MilestonePetitionUpdate,30562888,2022-05-17T23:57:54.000Z,25
MilestonePetitionUpdate,30562667,2022-05-17T22:36:12.000Z,10
MilestonePetitionUpdate,30562608,2022-05-17T22:21:48.000Z,5
