__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,26917378,2020-06-09T19:18:21.000Z,3000
MilestonePetitionUpdate,26892689,2020-06-08T05:52:21.000Z,2500
MilestonePetitionUpdate,26885191,2020-06-07T17:43:58.000Z,2000
MilestonePetitionUpdate,26877000,2020-06-07T01:26:46.000Z,1500
MilestonePetitionUpdate,26871813,2020-06-06T17:42:13.000Z,1000
MilestonePetitionUpdate,26867047,2020-06-06T10:22:41.000Z,750
MilestonePetitionUpdate,26862987,2020-06-06T02:09:28.000Z,500
MilestonePetitionUpdate,26859772,2020-06-05T22:12:07.000Z,250
MilestonePetitionUpdate,26858495,2020-06-05T20:41:47.000Z,100
MilestonePetitionUpdate,26857965,2020-06-05T20:08:28.000Z,50
MilestonePetitionUpdate,26857522,2020-06-05T19:42:20.000Z,25
MilestonePetitionUpdate,26856777,2020-06-05T18:58:24.000Z,10
MilestonePetitionUpdate,26856389,2020-06-05T18:36:01.000Z,5
