__typename,id,createdAt,signatureCount,title,description,photo,video,embeddedMedia
MilestonePetitionUpdate,30675363,2022-06-20T03:03:53.000Z,17500.0,,,,,
MilestonePetitionUpdate,30623847,2022-06-03T22:14:57.000Z,15000.0,,,,,
MilestonePetitionUpdate,30615563,2022-06-01T18:14:23.000Z,12500.0,,,,,
MilestonePetitionUpdate,30611895,2022-05-31T18:09:27.000Z,10000.0,,,,,
MilestonePetitionUpdate,30609723,2022-05-31T05:27:50.000Z,9000.0,,,,,
MilestonePetitionUpdate,30601917,2022-05-28T11:37:05.000Z,8000.0,,,,,
MilestonePetitionUpdate,30595607,2022-05-26T17:34:49.000Z,7500.0,,,,,
MilestonePetitionUpdate,30580254,2022-05-22T20:41:21.000Z,7000.0,,,,,
MilestonePetitionUpdate,30559589,2022-05-17T05:46:23.000Z,6000.0,,,,,
StarterPetitionUpdate,30551678,2022-05-14T18:35:49.000Z,,Over 5000 signatures!!,"<p>Congratulations! We have over 5000 signatures! In my last update I said that I would email the ACLU when we hit 1000 but we had such momentum I decided to wait a little longer, glad I did. Having hit the 5000 mark today I've drafted the email and downloaded all signatures and comments (as of this morning) and will be sending the email today.  My communication to the ACLU will include a link to our petition, so feel free to continue to share the message, hopefully they'll check it out and see that people feel strongly about removing Ms. Heard from the list of ambassadors.  I will post another update tomorrow with the content of that email.  PS - signatures came from 77 countries!! The world is looking to the ACLU to do the right thing.</p>",,,
MilestonePetitionUpdate,30549904,2022-05-14T04:06:52.000Z,5000.0,,,,,
MilestonePetitionUpdate,30529892,2022-05-09T10:31:32.000Z,4000.0,,,,,
MilestonePetitionUpdate,30522665,2022-05-06T22:52:49.000Z,3000.0,,,,,
MilestonePetitionUpdate,30517954,2022-05-05T20:15:45.000Z,2500.0,,,,,
MilestonePetitionUpdate,30512504,2022-05-04T15:10:31.000Z,2000.0,,,,,
MilestonePetitionUpdate,30505488,2022-05-02T20:18:10.000Z,1500.0,,,,,
MilestonePetitionUpdate,30502181,2022-05-01T20:25:21.000Z,1000.0,,,,,
StarterPetitionUpdate,30498774,2022-04-30T16:15:12.000Z,,We’re almost there,<p>Please considering sharing this petition. At 1000 signatures I will forward the results to ACLU Executive Director Anthony D Romero and express our request to have Amber Heard removed as Ambassador. Thank you so much for your help. </p>,,,
MilestonePetitionUpdate,30498503,2022-04-30T14:24:09.000Z,750.0,,,,,
MilestonePetitionUpdate,30496670,2022-04-29T22:24:29.000Z,500.0,,,,,
MilestonePetitionUpdate,30493298,2022-04-29T02:20:43.000Z,250.0,,,,,
MilestonePetitionUpdate,30493044,2022-04-29T00:51:03.000Z,200.0,,,,,
MilestonePetitionUpdate,30492845,2022-04-28T23:42:55.000Z,100.0,,,,,
MilestonePetitionUpdate,30492813,2022-04-28T23:29:17.000Z,50.0,,,,,
MilestonePetitionUpdate,30492788,2022-04-28T23:22:10.000Z,25.0,,,,,
MilestonePetitionUpdate,30492751,2022-04-28T23:10:25.000Z,10.0,,,,,
MilestonePetitionUpdate,30492743,2022-04-28T23:06:49.000Z,5.0,,,,,
