__typename,id,createdAt,title,description,photo,video,embeddedMedia,signatureCount
StarterPetitionUpdate,30520952,2022-05-06T15:02:56.000Z,City Hall wants to close West Kildonan Library—again!,"<p>As you may have heard, the City of Winnipeg has announced plan to close our beloved West Kildonan Public Library (again) and hand its library services over to private developers. <strong>This back-room deal only came to light a couple days ago and will be voting to approve this plan on Monday, May 9th.</strong> City Hall has already announced this proposal will be their template for cutting even more neighbourhood libraries. </p>
<p>We must once again stand up and have our voices heard. We must band together and save West Kildonan Library. <strong>Please share this petition with your friends and family. Call and email the city councillors below. </strong>Every effort helps to save our library from closure! </p>
<p>Part of the City's proposal includes opening an experimental branch within Garden City Shopping Centre—<strong>without a single window or source of natural light.</strong> The proposed space is wedged behind Bulk Barn and other retailers, making it unattractive for businesses, having been vacant for over 5 years since the mall redevelopment. There will not be a dedicated exterior entrance and relegates our community library to a space completely controlled by for-profit private enterprises. <strong>How can a library exist without proper entrances, windows, daylight or greenspace?</strong></p>
<p>This proposal would remove library services from our community and place them in the middle of a commercial district, far from most residents. <strong>Most importantly, this proposal puts our library further away from schools, pedestrians, child care centres and seniors. </strong></p>
<p><strong>This is a bad deal for taxpayers.</strong> In addition to losing city-owned property in West Kildonan, the City wants to <strong>spend $2 million on constructing a library within space it does not own</strong> and will be forced to pay a monthly lease. This is all an attempt to make the mall's most undesirable retail space into a second class library branch. Think of what $2 million could do towards the existing library. Or what $2 million plus 10 years of lease payments could construct for a new library? <strong>In total, over $6.5m of taxpayer dollars will be handed to private developers as part of this library plan. </strong></p>
<p><strong>Why should we be forced to give up West Kildonan Library in favour of a second-class library branch?</strong> The existing library is already owned by the citizens of Winnipeg. Why are we willing to hand our libraries over to private developers? </p>
<p><strong>We agree that West Kildonan and Garden City deserves a reinvestment in our library services.</strong> Northwest Winnipeg is growing, but services for new developments should not come at the expense of our neighbourhoods.<strong> City Hall has indicated that this proposal is their new template to cut neighbourhood library branches and centralize them within small, inacessible commercial outlets. </strong></p>
<p>West Kildonan and Garden City deserve the same library services as the rest of the city, including the new, stand-alone branches recently constructed River Heights, Windsor Park or Transcona. <strong>We do not deserve less. </strong></p>
<p>Please contact City Council and let them know you oppose this misguided and short-sighted proposal. <strong>Emails and phone calls are important! </strong></p>
<p><em><strong>Committee Voting on Proposal:  </strong></em></p>
<p>Cindy Gilroy: cgilroy@winnipeg.ca | 204-986-5951 (Committee Chair)</p>
<p>Kevin Klein: kklein@winnipeg.ca | 204-986-5232 (Committee Member) </p>
<p>Vivian Santos: vsantos@winnipeg.ca | 204-986-8401 (Committee Member) </p>
<p>Janica Lukes: jlukes@winnipeg.ca | 204-986-6824 (Committee Member)</p>
<p><em><strong>Area Councillors:</strong></em></p>
<p>Councillor Devi Sharma: devi@winnipeg.ca | 204-986-5264 </p>
<p>Coucillor Ross Eadie: readie@winnipeg.ca 204-986-5188</p>
<p><em><strong>Mayor Brian Bowman:</strong></em></p>
<p>bbowman@winnipeg.ca OR mayorbowman@winnipeg.ca | 204-986-5665</p>",,,"{'providerName': 'CBC', 'photoUrl': 'https://i.cbc.ca/1.6440273.1651614225!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/west-kildonan-library.jpg', 'description': ""The City of Winnipeg is preparing to close the book on the first stand-alone home of the West Kildonan Library. A new report to council's property committee recommends moving the 55-year-old library - which predates the amalgamation of Winnipeg with the old City of West Kildonan - into a 15,000-square-foot space in Garden City Shopping Centre.""}",
MilestonePetitionUpdate,25788957,2020-02-22T17:37:28.000Z,,,,,,10000.0
MilestonePetitionUpdate,25600463,2020-01-15T00:50:18.000Z,,,,,,9000.0
MilestonePetitionUpdate,25551411,2020-01-02T23:08:39.000Z,,,,,,8000.0
MilestonePetitionUpdate,25508863,2019-12-19T15:18:51.000Z,,,,,,7500.0
MilestonePetitionUpdate,25433559,2019-12-02T19:35:33.000Z,,,,,,7000.0
MilestonePetitionUpdate,25420326,2019-11-30T00:04:41.000Z,,,,,,6000.0
StarterPetitionUpdate,25418692,2019-11-29T14:54:16.000Z,Update:,"<p>Hello everyone. A few updates on our efforts to save the West Kildonan Library. It has been a very busy week and I would like to give you some updates.</p>
<p>Firstly, thank you for taking time to sign and share the petition. Together, we have reached 5,800+ signature in less than 5 days!</p>
<p>This Wednesday, I had the opportunity to meet with Councillors at City Hall and give a presentation to the committee reviewing West Kildonan Library's closure. I presented our petition (so far) and 30+ letters from our residents firmly against this closure. CTV and a few other local media outlets covered my presentation and it has helped share our story with residents across Winnipeg. </p>
<p>You may not know, but City Hall is now wanting to also cut funding for a second library that has been proposed for North Winnipeg. In 2013 City Council approved funding for a second, new library in North Winnipeg. City Hall now wants to cut that funding AND still close West Kildonan Library. </p>
<p>City Hall heard loud and clear that our residents will not accept losing the funding for this proposed library and also closing the only other library we have. It is unfair and inequitable to leave our North Winnipeg residents with no library services. Nearby Old Kildonan Councillor, Devi Sharma, has been very supportive of our efforts to save West Kildonan Library and opposes the closure and cuts. </p>
<p>To keep fighting this closure and cuts, please email the Mayor and all City Councillors to let them know you want to keep the West Kildonan Library. You can also let them know they need to restore funding for the second North Winnipeg library. </p>
<p>Please continue to tell your friends, families and neighbours to sign the petition. Feel free to contact me if you are interested in joining our efforts, I also love hearing from other concerned residents. Together we can save West Kildonan Library! </p>
<p>Sincerely, Daniel Guenther</p>
<p>gardencitywinnipeg@gmail.com</p>",,,"{'providerName': 'Winnipeg', 'photoUrl': 'https://www.ctvnews.ca/polopoly_fs/1.4697170.1574874706!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg', 'description': 'WINNIPEG -- Dozens of people are pleading with a city committee to reverse proposed cuts to services like libraries and pools. Forty-four delegations are registered to speak to the protection and community services committee. Some even showed up with signs to make their point.'}",
MilestonePetitionUpdate,25409431,2019-11-27T05:35:34.000Z,,,,,,5000.0
StarterPetitionUpdate,25404760,2019-11-26T03:55:42.000Z,Letter of Support Needed from Residents to Present to City Hall!,"<p>We are looking for local residents to write letters of support. These letters can be short, but need to explain WHY our library should remain open. </p>
<p>If you can please spare a minute and write a letter of support, we will be presenting them along with the petition to City Hall on Wednesday, Nov 27! Please email them to gardencitywinnipeg@gmail.com.</p>
<p>Thank you!</p>",,,,
