__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,28178435,2020-12-06T23:25:16.000Z,2000
MilestonePetitionUpdate,28140514,2020-11-29T16:22:14.000Z,1500
MilestonePetitionUpdate,28056495,2020-11-12T14:11:27.000Z,1000
MilestonePetitionUpdate,26811028,2020-06-03T11:44:06.000Z,750
MilestonePetitionUpdate,26741615,2020-05-27T23:48:37.000Z,500
MilestonePetitionUpdate,26567499,2020-05-06T17:29:15.000Z,250
MilestonePetitionUpdate,26563921,2020-05-06T08:03:14.000Z,200
MilestonePetitionUpdate,26536642,2020-05-03T02:22:14.000Z,100
MilestonePetitionUpdate,26531742,2020-05-02T13:43:08.000Z,50
MilestonePetitionUpdate,26530438,2020-05-02T10:15:12.000Z,25
MilestonePetitionUpdate,26529674,2020-05-02T07:43:50.000Z,10
MilestonePetitionUpdate,26529289,2020-05-02T06:24:47.000Z,5
