__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,29688755,2021-10-06T04:43:07.000Z,1000
MilestonePetitionUpdate,29382326,2021-07-26T19:37:50.000Z,750
MilestonePetitionUpdate,29260078,2021-06-26T18:49:51.000Z,500
MilestonePetitionUpdate,28829103,2021-04-06T05:52:39.000Z,250
MilestonePetitionUpdate,28524358,2021-02-10T08:09:32.000Z,200
MilestonePetitionUpdate,28050917,2020-11-11T16:24:31.000Z,100
MilestonePetitionUpdate,28028094,2020-11-07T21:34:54.000Z,50
MilestonePetitionUpdate,28025748,2020-11-07T12:07:54.000Z,25
MilestonePetitionUpdate,28024618,2020-11-07T04:29:30.000Z,10
MilestonePetitionUpdate,28024556,2020-11-07T04:06:38.000Z,5
