__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,28293138,2021-01-02T12:27:49.000Z,3000
MilestonePetitionUpdate,28198436,2020-12-10T15:22:23.000Z,2500
MilestonePetitionUpdate,28143767,2020-11-30T10:43:03.000Z,2000
MilestonePetitionUpdate,28099320,2020-11-20T22:28:53.000Z,1500
MilestonePetitionUpdate,28055906,2020-11-12T11:55:58.000Z,1000
MilestonePetitionUpdate,28048707,2020-11-11T06:07:48.000Z,750
MilestonePetitionUpdate,28037180,2020-11-09T14:37:33.000Z,500
MilestonePetitionUpdate,28031186,2020-11-08T13:38:56.000Z,250
MilestonePetitionUpdate,28030554,2020-11-08T10:14:06.000Z,200
MilestonePetitionUpdate,28028007,2020-11-07T21:15:25.000Z,100
MilestonePetitionUpdate,28025719,2020-11-07T11:57:15.000Z,50
MilestonePetitionUpdate,28024119,2020-11-07T01:41:00.000Z,25
MilestonePetitionUpdate,28023458,2020-11-06T23:07:00.000Z,10
MilestonePetitionUpdate,28023335,2020-11-06T22:41:56.000Z,5
