__typename,id,createdAt,signatureCount
MilestonePetitionUpdate,30501953,2022-05-01T18:50:53.000Z,1000
MilestonePetitionUpdate,28970533,2021-04-30T00:33:45.000Z,750
MilestonePetitionUpdate,28096214,2020-11-20T13:02:47.000Z,500
MilestonePetitionUpdate,28035163,2020-11-09T04:23:05.000Z,250
MilestonePetitionUpdate,28032678,2020-11-08T18:49:50.000Z,200
MilestonePetitionUpdate,28023563,2020-11-06T23:33:11.000Z,100
MilestonePetitionUpdate,27662369,2020-09-04T23:17:04.000Z,50
MilestonePetitionUpdate,27289408,2020-07-15T01:10:25.000Z,25
MilestonePetitionUpdate,25797975,2020-02-24T21:24:12.000Z,10
MilestonePetitionUpdate,25780942,2020-02-21T01:54:25.000Z,5
